,precision,recall,f1-score,support
0,0.900050735667174,0.8950554994954592,0.8975461674677461,1982.0
1,0.7204246713852376,0.7311441765007696,0.7257448433919022,1949.0
2,0.6306352459016393,0.608201581027668,0.619215291750503,2024.0
3,0.5338645418326693,0.5838779956427015,0.5577523413111343,1836.0
4,0.7962697274031564,0.7537347215934812,0.7744186046511629,2209.0
accuracy,0.7167,0.7167,0.7167,0.7167
macro avg,0.7162489844379754,0.7144027948520157,0.7149354497144896,10000.0
weighted avg,0.7203549106965438,0.7167,0.7181428950516568,10000.0
