,precision,recall,f1-score,support
0,0.9994926433282597,0.9835247129306041,0.9914443885254152,2003.0
1,0.9767441860465116,0.9438202247191011,0.9599999999999999,2047.0
2,0.9093237704918032,0.9060745278203165,0.9076962413704935,1959.0
3,0.8605577689243028,0.8205128205128205,0.8400583373845406,2106.0
4,0.8493543758967002,0.9421750663129973,0.8933601609657947,1885.0
accuracy,0.9181,0.9181,0.9181,0.9181
macro avg,0.9190945489375155,0.9192214704591679,0.9185118256492487,10000.0
weighted avg,0.9196112039737018,0.9181,0.918230680901357,10000.0
