,precision,recall,f1-score,support
0,1.0,0.9830423940149626,0.9914486921529175,2005.0
1,0.9817997977755308,0.9542997542997543,0.9678544729628706,2035.0
2,0.9503073770491803,0.9279639819909955,0.9390027841052898,1999.0
3,0.9203187250996016,0.9036674816625917,0.9119170984455959,2045.0
4,0.9076996652319465,0.9906054279749478,0.9473421512353382,1916.0
accuracy,0.9514,0.9514,0.9514,0.9514
macro avg,0.952025113031252,0.9519158079886504,0.9515130397804024,10000.0
weighted avg,0.9523831386607612,0.9514,0.9514483073760668,10000.0
