,precision,recall,f1-score,support
0,0.989345509893455,0.9554140127388535,0.9720837487537388,2041.0
1,0.8816986855409504,0.8676616915422886,0.8746238716148446,2010.0
2,0.7792008196721312,0.7280995691718526,0.7527839643652561,2089.0
3,0.6289840637450199,0.6661392405063291,0.6470286885245902,1896.0
4,0.7833572453371592,0.8340122199592668,0.8078914919852035,1964.0
accuracy,0.8116,0.8116,0.8116,0.8116
macro avg,0.8125172648377431,0.8102653467837182,0.8108823530487266,10000.0
weighted avg,0.8150286470627672,0.8116,0.81280478984128,10000.0
