,precision,recall,f1-score,support
0,0.9956331877729258,0.9702127659574468,0.9827586206896551,235.0
1,0.8686868686868687,0.8431372549019608,0.855721393034826,204.0
2,0.7286432160804021,0.7142857142857143,0.7213930348258707,203.0
3,0.6203208556149733,0.6105263157894737,0.6153846153846155,190.0
4,0.7112299465240641,0.7916666666666666,0.7492957746478872,168.0
accuracy,0.794,0.794,0.794,0.794
macro avg,0.7849028149358468,0.7859657435202524,0.7849106877165709,1000.0
weighted avg,0.7964480867859681,0.794,0.7947629931747472,1000.0
