,precision,recall,f1-score,support
0,0.9164648910411622,0.7790069462310265,0.8421638158809623,3887.0
1,0.8100818041123148,0.9299492385786802,0.8658868013706723,3940.0
accuracy,0.8549891401558707,0.8549891401558707,0.8549891401558707,0.8549891401558707
macro avg,0.8632733475767385,0.8544780924048534,0.8540253086258174,7827.0
weighted avg,0.8629131646453965,0.8549891401558707,0.8541056279199883,7827.0
