,precision,recall,f1-score,support
0,0.9817351598173516,0.4960266598308126,0.6590599455040872,3901.0
1,0.06875631951466127,0.2950108459869848,0.1115211152111521,461.0
2,0.0584016393442623,0.5158371040723982,0.10492406810860562,221.0
3,0.12400398406374502,0.23336457357075913,0.16195121951219513,1067.0
4,0.945480631276901,0.45448275862068965,0.6138798323241732,4350.0
accuracy,0.4411,0.4411,0.4411,0.4411
macro avg,0.4356755468033843,0.39894438841632895,0.3302672361320426,10000.0
weighted avg,0.8119505281089365,0.4411,0.5488771522405452,10000.0
