,precision,recall,f1-score,support
0,0.6855895196506551,0.7548076923076923,0.7185354691075516,208.0
1,0.42424242424242425,0.41379310344827586,0.41895261845386533,203.0
2,0.3065326633165829,0.3567251461988304,0.3297297297297297,171.0
3,0.24598930481283424,0.2839506172839506,0.2636103151862464,162.0
4,0.6577540106951871,0.48046875,0.5553047404063206,256.0
accuracy,0.471,0.471,0.471,0.471
macro avg,0.46402158454353676,0.45794906184774986,0.4572265745767427,1000.0
weighted avg,0.4893762117533311,0.471,0.47574942750847915,1000.0
