,precision,recall,f1-score,support
0,0.9416539827498731,0.5121412803532008,0.663449508489723,3624.0
1,0.13245702730030334,0.3393782383419689,0.19054545454545455,772.0
2,0.10040983606557377,0.4,0.16052416052416052,490.0
3,0.15687250996015936,0.3343949044585987,0.21355932203389827,942.0
4,0.8928742228598756,0.4475071907957814,0.5961999041992654,4172.0
accuracy,0.4496,0.4496,0.4496,0.4496
macro avg,0.44485351578715704,0.40668432278991,0.36485566995850033,10000.0
weighted avg,0.7436856840387376,0.4496,0.5318617830007952,10000.0
