,precision,recall,f1-score,support
0,0.9737991266375546,0.5425790754257908,0.696875,411.0
1,0.08585858585858586,0.4358974358974359,0.14345991561181434,39.0
2,0.06030150753768844,0.5714285714285714,0.10909090909090909,21.0
3,0.0962566844919786,0.16071428571428573,0.12040133779264213,112.0
4,0.93048128342246,0.4172661870503597,0.576158940397351,417.0
accuracy,0.444,0.444,0.444,0.444
macro avg,0.4293394375896534,0.4255771111032887,0.32919722057854334,1000.0
weighted avg,0.8036377014050788,0.444,0.5480446987782411,1000.0
