,precision,recall,f1-score,support
0,0.7026889903602233,0.6998484082870137,0.7012658227848101,1979.0
1,0.39635995955510617,0.3927855711422846,0.3945646703573226,1996.0
2,0.2817622950819672,0.328750747160789,0.30344827586206896,1673.0
3,0.2958167330677291,0.3427582227351414,0.31756214915797915,1733.0
4,0.6575801052128168,0.5250095456281023,0.583864118895966,2619.0
accuracy,0.4688,0.4688,0.4688,0.4688
macro avg,0.46684161665556845,0.45783049899066625,0.4601410074116294,10000.0
weighted avg,0.48879970048257465,0.4688,0.47625004427209094,10000.0
