,precision,recall,f1-score,support
0,0.9388646288209607,0.5718085106382979,0.7107438016528925,376.0
1,0.13636363636363635,0.375,0.19999999999999998,72.0
2,0.08040201005025126,0.3333333333333333,0.12955465587044535,48.0
3,0.12299465240641712,0.25274725274725274,0.16546762589928057,91.0
4,0.8770053475935828,0.39709443099273606,0.5466666666666666,413.0
accuracy,0.445,0.445,0.445,0.445
macro avg,0.43112605504696966,0.385996705542324,0.350486550017857,1000.0
weighted avg,0.7400863006624088,0.445,0.5286891801934368,1000.0
