,precision,recall,f1-score,support
0,1.0,0.2668997668997669,0.4213431462741491,858.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.5080213903743316,0.6690140845070423,0.5775075987841946,142.0
accuracy,0.324,0.324,0.324,0.324
macro avg,0.30160427807486634,0.18718277028136182,0.19977014901166873,1000.0
weighted avg,0.9301390374331551,0.324,0.4435184985305755,1000.0
