,precision,recall,f1-score,support
0,0.9475982532751092,0.9601769911504425,0.9538461538461538,226.0
1,0.7323232323232324,0.8055555555555556,0.7671957671957672,180.0
2,0.6733668341708543,0.6350710900473934,0.6536585365853658,211.0
3,0.6203208556149733,0.5631067961165048,0.5903307888040713,206.0
4,0.7219251336898396,0.7627118644067796,0.7417582417582418,177.0
accuracy,0.747,0.747,0.747,0.747
macro avg,0.7391068618148017,0.7453244594553352,0.74135789763792,1000.0
weighted avg,0.7436226339881928,0.747,0.7444857713688285,1000.0
