,precision,recall,f1-score,support
0,0.9964485032978183,0.9679645145391819,0.982,2029.0
1,0.9251769464105156,0.9019221291276491,0.9134015472922387,2029.0
2,0.8043032786885246,0.7989821882951654,0.8016339034975748,1965.0
3,0.6175298804780877,0.7065527065527065,0.6590486314111081,1755.0
4,0.8440937350549976,0.7943294329432943,0.8184558312079758,2222.0
accuracy,0.8369,0.8369,0.8369,0.8369
macro avg,0.8375104687859887,0.8339501942915994,0.8349079826817795,10000.0
weighted avg,0.8438775199612409,0.8369,0.8396219564899304,10000.0
