,precision,recall,f1-score,support
0,0.9912663755458515,0.9700854700854701,0.980561555075594,234.0
1,0.9090909090909091,0.8490566037735849,0.8780487804878049,212.0
2,0.7185929648241206,0.7647058823529411,0.7409326424870466,187.0
3,0.6310160427807486,0.6483516483516484,0.6395663956639567,182.0
4,0.7967914438502673,0.8054054054054054,0.8010752688172044,185.0
accuracy,0.817,0.817,0.817,0.817
macro avg,0.8093515472183794,0.8075210019938099,0.8080369285063214,1000.0
weighted avg,0.8213118259255082,0.817,0.8187521582382042,1000.0
