,precision,recall,f1-score,support
0,0.9558599695585996,0.9443609022556391,0.9500756429652043,1995.0
1,0.7714863498483316,0.8398458998348927,0.8042160737812911,1817.0
2,0.7274590163934426,0.6710775047258979,0.6981317600786626,2116.0
3,0.6115537848605578,0.6287762416794674,0.6200454430699318,1953.0
4,0.7996174079387852,0.7890514393581878,0.7942992874109264,2119.0
accuracy,0.773,0.773,0.773,0.773
macro avg,0.7731953057199433,0.774622397570817,0.7733536414612032,10000.0
weighted avg,0.7736788444887305,0.773,0.7727977258441969,10000.0
