,precision,recall,f1-score,support
0,0.9912663755458515,0.978448275862069,0.9848156182212581,232.0
1,0.8383838383838383,0.8645833333333334,0.8512820512820513,192.0
2,0.6934673366834171,0.770949720670391,0.7301587301587302,179.0
3,0.786096256684492,0.625531914893617,0.6966824644549764,235.0
4,0.7272727272727273,0.8395061728395061,0.7793696275071633,162.0
accuracy,0.814,0.814,0.814,0.814
macro avg,0.8072973069140653,0.8158038835197832,0.8084616983248358,1000.0
weighted avg,0.8176249515017037,0.814,0.8126000487749782,1000.0
