,precision,recall,f1-score,support
0,1.0,0.9703389830508474,0.9849462365591398,236.0
1,0.9040404040404041,0.895,0.8994974874371859,200.0
2,0.7537688442211056,0.7978723404255319,0.7751937984496123,188.0
3,0.6631016042780749,0.6666666666666666,0.6648793565683646,186.0
4,0.8181818181818182,0.8052631578947368,0.8116710875331565,190.0
accuracy,0.835,0.835,0.835,0.835
macro avg,0.8278185341442805,0.8270282296075566,0.8272375933094919,1000.0
weighted avg,0.8373080673719161,0.835,0.8359683103769369,1000.0
