,precision,recall,f1-score,support
0,0.901307966706302,0.7800360174942115,0.8362984415942628,3887.0
1,0.8084248263499888,0.915736040609137,0.8587409258598121,3940.0
accuracy,0.8483454708061837,0.8483454708061837,0.8483454708061837,0.8483454708061837
macro avg,0.8548663965281453,0.8478860290516743,0.8475196837270375,7827.0
weighted avg,0.8545519205834102,0.8483454708061837,0.847595667607584,7827.0
