,precision,recall,f1-score,support
0,0.9737991266375546,0.9612068965517241,0.9674620390455532,232.0
1,0.8131313131313131,0.8009950248756219,0.8070175438596491,201.0
2,0.6482412060301508,0.712707182320442,0.6789473684210526,181.0
3,0.5828877005347594,0.615819209039548,0.5989010989010988,177.0
4,0.8128342245989305,0.7272727272727273,0.7676767676767678,209.0
accuracy,0.774,0.774,0.774,0.774
macro avg,0.7661787141865417,0.7636002080120127,0.7640009635808244,1000.0
weighted avg,0.7797459255465927,0.774,0.7760011320085072,1000.0
