,precision,recall,f1-score,support
0,0.9213973799126638,0.9094827586206896,0.9154013015184382,232.0
1,0.7525252525252525,0.6930232558139535,0.7215496368038741,215.0
2,0.7035175879396985,0.5072463768115942,0.5894736842105265,276.0
3,0.39037433155080214,0.4965986394557823,0.437125748502994,147.0
4,0.5508021390374331,0.7923076923076923,0.6498422712933755,130.0
accuracy,0.676,0.676,0.676,0.676
macro avg,0.6637233381931701,0.6797317446019424,0.6626785284658416,1000.0
weighted avg,0.6987172805168583,0.676,0.6789379910052948,1000.0
