,precision,recall,f1-score,support
0,0.9039301310043668,0.9324324324324325,0.917960088691796,222.0
1,0.6212121212121212,0.754601226993865,0.6814404432132964,163.0
2,0.4472361809045226,0.5668789808917197,0.5,157.0
3,0.3155080213903743,0.4125874125874126,0.35757575757575755,143.0
4,0.9679144385026738,0.5746031746031746,0.7211155378486055,315.0
accuracy,0.659,0.659,0.659,0.659
macro avg,0.6511601786028117,0.648220645501721,0.6356183654658911,1000.0
weighted avg,0.722156840429721,0.659,0.67164665968899,1000.0
