,precision,recall,f1-score,support
0,0.9822425164890918,0.937984496124031,0.9596034696406444,2064.0
1,0.8372093023255814,0.8355196770938446,0.8363636363636364,1982.0
2,0.6895491803278688,0.7252155172413793,0.7069327731092437,1856.0
3,0.5582669322709163,0.6728691476590636,0.6102340772999455,1666.0
4,0.8790052606408417,0.7557565789473685,0.8127349104576609,2432.0
accuracy,0.7897,0.7897,0.7897,0.7897
macro avg,0.7892546384108601,0.7854690834131375,0.7851737733742261,10000.0
weighted avg,0.8034314172973186,0.7897,0.7943582790516514,10000.0
