,precision,recall,f1-score,support
0,0.9388646288209607,0.9684684684684685,0.9534368070953436,222.0
1,0.8181818181818182,0.7864077669902912,0.801980198019802,206.0
2,0.628140703517588,0.7142857142857143,0.6684491978609626,175.0
3,0.6631016042780749,0.5990338164251208,0.6294416243654822,207.0
4,0.7754010695187166,0.7631578947368421,0.7692307692307693,190.0
accuracy,0.771,0.771,0.771,0.771
macro avg,0.7647379648634317,0.7662707321812874,0.7645077193144719,1000.0
weighted avg,0.7714862605534033,0.771,0.7702977639904149,1000.0
