,precision,recall,f1-score,support
0,0.9432314410480349,0.9391304347826087,0.9411764705882353,230.0
1,0.7121212121212122,0.8011363636363636,0.7540106951871659,176.0
2,0.5778894472361809,0.6497175141242938,0.6117021276595745,177.0
3,0.6096256684491979,0.5327102803738317,0.5685785536159601,214.0
4,0.7754010695187166,0.7142857142857143,0.7435897435897436,203.0
accuracy,0.731,0.731,0.731,0.731
macro avg,0.7236537676746684,0.7273960614405623,0.7238115181281359,1000.0
weighted avg,0.7324293070956132,0.731,0.7300722756065133,1000.0
