,precision,recall,f1-score,support
0,0.9005580923389143,0.8537758537758537,0.8765432098765432,2079.0
1,0.6622851365015167,0.6756059824651882,0.6688792443196324,1939.0
2,0.5005122950819673,0.546420581655481,0.5224598930481283,1788.0
3,0.41882470119521914,0.4847262247838617,0.44937216136788677,1735.0
4,0.7780966044954567,0.6616510776738511,0.7151648351648351,2459.0
accuracy,0.653,0.653,0.653,0.653
macro avg,0.6520553659226149,0.6444359440708471,0.6464838687554052,10000.0
weighted avg,0.6691347544283635,0.653,0.6591699506482767,10000.0
