,precision,recall,f1-score,support
0,0.9126637554585153,0.8969957081545065,0.9047619047619049,233.0
1,0.6616161616161617,0.6787564766839378,0.6700767263427111,193.0
2,0.507537688442211,0.5771428571428572,0.5401069518716577,175.0
3,0.5401069518716578,0.4697674418604651,0.5024875621890548,215.0
4,0.6684491978609626,0.6793478260869565,0.6738544474393531,184.0
accuracy,0.667,0.667,0.667,0.667
macro avg,0.6580747510499017,0.6604020619857446,0.6582575185209363,1000.0
weighted avg,0.6682793167499638,0.667,0.6666770927706948,1000.0
